kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms,split,sample
flow,single,1,64,0.04176888324214019,0.24506589678942475,0.17043939523756138,T,0
flow,H1,1,16,0.04271344720260742,0.29259588037456996,0.14598102730608276,T,0
flow,H2,1,16,0.06255229237572084,0.49533562290358607,0.12628264450080998,T,0
flow,H3,1,16,0.08482880018046005,0.6851918314586614,0.12380299397305046,T,0
flow,H4,1,16,0.09769438475847447,0.7982629768160251,0.1223837101253789,T,0
flow,H5,1,16,0.13505542390072803,0.92432317716171,0.1461127744469618,T,0
flow,single,2,64,0.042010410579154306,0.24506589678942475,0.17142495602010327,T,0
flow,H1,2,16,0.04148821814743888,0.29259588037456996,0.14179358265170125,T,0
flow,H2,2,16,0.061676385907719636,0.49533562290358607,0.1245143354442823,T,0
flow,H3,2,16,0.08479609337392516,0.6851918314586614,0.12375526017788062,T,0
flow,H4,2,16,0.09773353379617108,0.7982629768160251,0.12243275290806281,T,0
flow,H5,2,16,0.13463334488396825,0.92432317716171,0.14565613868666868,T,0
packed,single,1,64,0.07652765498425516,0.24506589678942475,0.3122737842630641,T,0
packed,H1,1,16,0.06721270554170401,0.29259588037456996,0.22971172887212526,T,0
packed,H2,1,16,0.07355172551937902,0.49533562290358607,0.14848866529774177,T,0
packed,H3,1,16,0.11372928152982902,0.6851918314586614,0.1659816657296074,T,0
packed,H4,1,16,0.166095703109928,0.7982629768160251,0.20807140996620205,T,0
packed,H5,1,16,0.18318064862873332,0.92432317716171,0.19817814067069092,T,0
